0:0:0:0:0:0:0:1 - - [04/Dec/2020:16:01:30 +0200] "GET /Noutaja/asiakkaat/getone/13 HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [04/Dec/2020:16:01:35 +0200] "PUT /Noutaja/asiakkaat HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [04/Dec/2020:16:04:58 +0200] "GET /Noutaja/muutaasiakas.jsp?asiakas_id=13 HTTP/1.1" 200 2897
0:0:0:0:0:0:0:1 - - [04/Dec/2020:16:04:58 +0200] "GET /Noutaja/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2020:16:04:58 +0200] "GET /Noutaja/asiakkaat/getone/13 HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [04/Dec/2020:16:05:07 +0200] "PUT /Noutaja/asiakkaat HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [04/Dec/2020:16:05:11 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2540
0:0:0:0:0:0:0:1 - - [04/Dec/2020:16:05:11 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [04/Dec/2020:16:05:19 +0200] "DELETE /Noutaja/asiakkaat/13 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [04/Dec/2020:16:05:21 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 542
